Company;Flight;Terminal;Status;Date;Arrival;Real_Arrival;Origin;IATA;Departure;Departure_time;Departure_real_time
Vueling;VY 8019;1;Programado - Puntual;2018-11-09;18:25;18:26;Paris;ORY;2018-11-09; 16:50;
Iberia;IB 5273;1;Programado - Puntual;2018-11-09;18:25;18:26;Paris;ORY;2018-11-09; 16:50;
Vueling;VY 6405;1;Programado - Retrasado;2018-11-09;18:25;18:49;Venice;VCE;2018-11-09; 16:35;
Iberia;IB 5233;1;Programado - Retrasado;2018-11-09;18:25;18:49;Venice;VCE;2018-11-09; 16:35;
Vueling;VY 1315;1;Programado - Puntual;2018-11-09;18:25;18:26;Valencia;VLC;2018-11-09; 17:25;
Iberia;IB 5179;1;Programado - Puntual;2018-11-09;18:25;18:26;Valencia;VLC;2018-11-09; 17:25;
Qatar Airways;QR 3707;1;Programado - Puntual;2018-11-09;18:25;18:26;Valencia;VLC;2018-11-09; 17:25;
Korean Air;KE 915;1;En Ruta - Puntual;2018-11-09;18:30;18:30;Seoul;ICN;2018-11-09; 13:35;13:51
Ryanair;FR 246;2;Programado - Puntual;2018-11-09;18:30;18:30;Vigo;VGO;2018-11-09; 16:45;
Vueling;VY 6523;1;Programado - Puntual;2018-11-09;18:35;18:35;Bologna;BLQ;2018-11-09; 16:55;
Iberia;IB 5239;1;Programado - Puntual;2018-11-09;18:35;18:35;Bologna;BLQ;2018-11-09; 16:55;
Qatar Airways;QR 3563;1;Programado - Puntual;2018-11-09;18:35;18:35;Bologna;BLQ;2018-11-09; 16:55;
Ryanair;FR 8842;2;Programado - Puntual;2018-11-09;18:35;18:35;Ibiza;IBZ;2018-11-09; 17:40;
Vueling;VY 6335;1;Programado - Puntual;2018-11-09;18:35;18:39;Milan;MXP;2018-11-09; 17:00;
Iberia;IB 5227;1;Programado - Puntual;2018-11-09;18:35;18:39;Milan;MXP;2018-11-09; 17:00;
Vueling;VY 1313;1;Programado - Puntual;2018-11-09;18:40;18:51;Alicante;ALC;2018-11-09; 17:30;
Iberia;IB 5781;1;Programado - Puntual;2018-11-09;18:40;18:51;Alicante;ALC;2018-11-09; 17:30;
Qatar Airways;QR 3533;1;Programado - Puntual;2018-11-09;18:40;18:51;Alicante;ALC;2018-11-09; 17:30;
Vueling;VY 8721;1;Programado - Retrasado;2018-11-09;18:40;19:19;Dublin;DUB;2018-11-09; 15:20;
Iberia;IB 5327;1;Programado - Retrasado;2018-11-09;18:40;19:19;Dublin;DUB;2018-11-09; 15:20;
Eurowings;EW 9442;2;Programado;2018-11-09;18:45;18:45;Dusseldorf;DUS;2018-11-09; 16:35;
Lufthansa;LH 5351;2;Programado;2018-11-09;18:45;18:45;Dusseldorf;DUS;2018-11-09; 16:35;
ANA;NH 5109;2;Programado;2018-11-09;18:45;18:45;Dusseldorf;DUS;2018-11-09; 16:35;
Iberia;IB 1730;1;Programado;2018-11-09;18:45;18:45;Madrid;MAD;2018-11-09; 17:30;
AVIANCA;AV 6148;1;Programado;2018-11-09;18:45;18:45;Madrid;MAD;2018-11-09; 17:30;
LATAM Airlines;LA 7077;1;Programado;2018-11-09;18:45;18:45;Madrid;MAD;2018-11-09; 17:30;
Vueling;VY 1427;1;Programado - Puntual;2018-11-09;18:50;18:47;Bilbao;BIO;2018-11-09; 17:40;
Iberia;IB 5479;1;Programado - Puntual;2018-11-09;18:50;18:47;Bilbao;BIO;2018-11-09; 17:40;
Qatar Airways;QR 3547;1;Programado - Puntual;2018-11-09;18:50;18:47;Bilbao;BIO;2018-11-09; 17:40;
Ryanair;FR 9146;2;Programado - Puntual;2018-11-09;18:50;18:50;Liverpool;LPL;2018-11-09; 15:30;
KLM;KL 1675;1;Programado - Puntual;2018-11-09;19:05;19:05;Amsterdam;AMS;2018-11-09; 16:55;
China Southern Airlines;CZ 7982;1;Programado - Puntual;2018-11-09;19:05;19:05;Amsterdam;AMS;2018-11-09; 16:55;
Delta Air Lines;DL 9604;1;Programado - Puntual;2018-11-09;19:05;19:05;Amsterdam;AMS;2018-11-09; 16:55;
Etihad Airways;EY 7355;1;Programado - Puntual;2018-11-09;19:05;19:05;Amsterdam;AMS;2018-11-09; 16:55;
Gol;G3 8588;1;Programado - Puntual;2018-11-09;19:05;19:05;Amsterdam;AMS;2018-11-09; 16:55;
Garuda Indonesia;GA 9250;1;Programado - Puntual;2018-11-09;19:05;19:05;Amsterdam;AMS;2018-11-09; 16:55;
Kenya Airways;KQ 1675;1;Programado - Puntual;2018-11-09;19:05;19:05;Amsterdam;AMS;2018-11-09; 16:55;
Lufthansa;LH 1134;1;Programado;2018-11-09;19:05;19:05;Frankfurt;FRA;2018-11-09; 17:05;
ANA;NH 5449;1;Programado;2018-11-09;19:05;19:05;Frankfurt;FRA;2018-11-09; 17:05;
easyJet;U2 8577;2;Programado - Puntual;2018-11-09;19:05;19:05;London;LGW;2018-11-09; 16:00;
Ryanair;FR 9014;2;Programado - Puntual;2018-11-09;19:05;19:05;London;STN;2018-11-09; 15:50;
Ryanair;FR 1284;2;Programado - Puntual;2018-11-09;19:05;19:05;Jerez De La Frontera;XRY;2018-11-09; 17:20;
Vueling;VY 2122;1;Programado - Puntual;2018-11-09;19:10;19:10;Malaga;AGP;2018-11-09; 17:35;
Iberia;IB 5272;1;Programado - Puntual;2018-11-09;19:10;19:10;Malaga;AGP;2018-11-09; 17:35;
Qatar Airways;QR 3515;1;Programado - Puntual;2018-11-09;19:10;19:10;Malaga;AGP;2018-11-09; 17:35;
Germanwings;4U 526;2;Programado;2018-11-09;19:10;19:10;Cologne;CGN;2018-11-09; 17:00;
Eurowings;EW 526;2;Programado;2018-11-09;19:10;19:10;Cologne;CGN;2018-11-09; 17:00;
Vueling;VY 1591;1;Programado - Puntual;2018-11-09;19:10;19:12;Santander;SDR;2018-11-09; 18:00;
Iberia;IB 5107;1;Programado - Puntual;2018-11-09;19:10;19:12;Santander;SDR;2018-11-09; 18:00;
Qatar Airways;QR 3625;1;Programado - Puntual;2018-11-09;19:10;19:12;Santander;SDR;2018-11-09; 18:00;
Germanwings;4U 2520;2;Programado;2018-11-09;19:10;19:10;Stuttgart;STR;2018-11-09; 17:25;
Eurowings;EW 2520;2;Programado;2018-11-09;19:10;19:10;Stuttgart;STR;2018-11-09; 17:25;
SWISS;LX 1956;1;Programado;2018-11-09;19:10;19:10;Zurich;ZRH;2018-11-09; 17:25;
Vueling;VY 3909;1;Programado - Puntual;2018-11-09;19:20;19:23;Palma Mallorca;PMI;2018-11-09; 18:30;
Iberia;IB 5153;1;Programado - Puntual;2018-11-09;19:20;19:23;Palma Mallorca;PMI;2018-11-09; 18:30;
Qatar Airways;QR 3676;1;Programado - Puntual;2018-11-09;19:20;19:23;Palma Mallorca;PMI;2018-11-09; 18:30;
Ryanair;FR 2938;2;Programado - Puntual;2018-11-09;19:25;19:25;Brussels;BRU;2018-11-09; 17:25;
Ryanair;FR 6321;2;Programado - Puntual;2018-11-09;19:25;19:25;Valladolid;VLL;2018-11-09; 18:05;
Vueling;VY 2473;1;Programado - Puntual;2018-11-09;19:30;19:37;Lanzarote;ACE;2018-11-09; 15:30;
Iberia;IB 5099;1;Programado - Puntual;2018-11-09;19:30;19:37;Lanzarote;ACE;2018-11-09; 15:30;
Qatar Airways;QR 3501;1;Programado - Puntual;2018-11-09;19:30;19:37;Lanzarote;ACE;2018-11-09; 15:30;
Joon;JN 1248;1;Programado;2018-11-09;19:30;19:30;Paris;CDG;2018-11-09; 17:50;
Aeromexico;AM 6030;1;Programado;2018-11-09;19:30;19:30;Paris;CDG;2018-11-09; 17:50;
Gol;G3 5235;1;Programado;2018-11-09;19:30;19:30;Paris;CDG;2018-11-09; 17:50;
JAL;JL 5317;1;Programado;2018-11-09;19:30;19:30;Paris;CDG;2018-11-09; 17:50;
Atlasglobal;KK 7460;1;Programado;2018-11-09;19:30;19:30;Paris;CDG;2018-11-09; 17:50;
Kenya Airways;KQ 3206;1;Programado;2018-11-09;19:30;19:30;Paris;CDG;2018-11-09; 17:50;
Air Europa;UX 3478;1;Programado;2018-11-09;19:30;19:30;Paris;CDG;2018-11-09; 17:50;
Air France;AF 1248;1;Programado;2018-11-09;19:30;19:30;Paris;CDG;2018-11-09; 17:50;
British Airways;BA 2708;1;Programado - Puntual;2018-11-09;19:30;19:30;London;LGW;2018-11-09; 16:30;
Iberia;IB 7641;1;Programado - Puntual;2018-11-09;19:30;19:30;London;LGW;2018-11-09; 16:30;
Vueling;VY 1816;1;Programado - Puntual;2018-11-09;19:30;19:29;Madrid;MAD;2018-11-09; 18:15;
Iberia;IB 5006;1;Programado - Puntual;2018-11-09;19:30;19:29;Madrid;MAD;2018-11-09; 18:15;
easyJet;U2 4535;2;Programado;2018-11-09;19:30;19:30;Berlin;SXF;2018-11-09; 17:00;
Vueling;VY 2489;1;Programado - Puntual;2018-11-09;19:35;19:32;San Sebastian;EAS;2018-11-09; 18:30;
Iberia;IB 5399;1;Programado - Puntual;2018-11-09;19:35;19:32;San Sebastian;EAS;2018-11-09; 18:30;
Qatar Airways;QR 3581;1;Programado - Puntual;2018-11-09;19:35;19:32;San Sebastian;EAS;2018-11-09; 18:30;
Vueling;VY 3517;1;Programado - Puntual;2018-11-09;19:35;19:37;Ibiza;IBZ;2018-11-09; 18:40;
Iberia;IB 5131;1;Programado - Puntual;2018-11-09;19:35;19:37;Ibiza;IBZ;2018-11-09; 18:40;
Qatar Airways;QR 3611;1;Programado - Puntual;2018-11-09;19:35;19:37;Ibiza;IBZ;2018-11-09; 18:40;
Vueling;VY 3709;1;Programado - Puntual;2018-11-09;19:35;19:38;Menorca;MAH;2018-11-09; 18:45;
Iberia;IB 5137;1;Programado - Puntual;2018-11-09;19:35;19:38;Menorca;MAH;2018-11-09; 18:45;
Qatar Airways;QR 3659;1;Programado - Puntual;2018-11-09;19:35;19:38;Menorca;MAH;2018-11-09; 18:45;
Wizz Air;W6 2375;2;Programado;2018-11-09;19:40;19:40;Budapest;BUD;2018-11-09; 17:05;
Vueling;VY 3003;1;Programado - Puntual;2018-11-09;19:40;19:42;Las Palmas;LPA;2018-11-09; 15:20;
Iberia;IB 5109;1;Programado - Puntual;2018-11-09;19:40;19:42;Las Palmas;LPA;2018-11-09; 15:20;
Qatar Airways;QR 3651;1;Programado - Puntual;2018-11-09;19:40;19:42;Las Palmas;LPA;2018-11-09; 15:20;
Vueling;VY 3217;1;Programado - Puntual;2018-11-09;19:40;19:53;Tenerife;TFN;2018-11-09; 15:20;
Iberia;IB 5115;1;Programado - Puntual;2018-11-09;19:40;19:53;Tenerife;TFN;2018-11-09; 15:20;
Qatar Airways;QR 3559;1;Programado - Puntual;2018-11-09;19:40;19:53;Tenerife;TFN;2018-11-09; 15:20;
Anisec;VK 1000;1;Programado;2018-11-09;19:40;19:40;Vienna;VIE;2018-11-09; 17:05;
Vueling;VY 8029;1;Programado - Puntual;2018-11-09;19:55;19:55;Paris;ORY;2018-11-09; 18:20;
Iberia;IB 5279;1;Programado - Puntual;2018-11-09;19:55;19:55;Paris;ORY;2018-11-09; 18:20;
Vueling;VY 6202;1;Programado - Puntual;2018-11-09;20:00;20:00;Geneva;GVA;2018-11-09; 18:30;
Iberia;IB 5192;1;Programado - Puntual;2018-11-09;20:00;20:00;Geneva;GVA;2018-11-09; 18:30;
Ryanair;FR 3038;2;Programado - Puntual;2018-11-09;20:00;20:00;Luxembourg;LUX;2018-11-09; 18:05;
Iberia;IB 1846;1;Programado;2018-11-09;20:00;20:00;Madrid;MAD;2018-11-09; 18:45;
LATAM Airlines;LA 7109;1;Programado;2018-11-09;20:00;20:00;Madrid;MAD;2018-11-09; 18:45;
Ryanair;FR 7544;2;Programado - Puntual;2018-11-09;20:00;20:00;Manchester;MAN;2018-11-09; 16:40;
Transavia France;TO 3138;2;Programado;2018-11-09;20:00;20:00;Paris;ORY;2018-11-09; 18:20;
Emirates;EK 187;1;En Ruta - Puntual;2018-11-09;20:10;19:46;Dubai;DXB;2018-11-09; 15:35;15:29
Malaysia Airlines;MH 4511;1;En Ruta - Puntual;2018-11-09;20:10;19:46;Dubai;DXB;2018-11-09; 15:35;15:29
Qantas;QF 8187;1;En Ruta - Puntual;2018-11-09;20:10;19:46;Dubai;DXB;2018-11-09; 15:35;15:29
easyJet;U2 6029;2;Programado;2018-11-09;20:15;20:15;Bristol;BRS;2018-11-09; 17:00;
easyJet;U2 2267;2;Programado;2018-11-09;20:15;20:15;London;LTN;2018-11-09; 17:05;
Vueling;VY 1900;1;Programado - Puntual;2018-11-09;20:15;20:14;Madrid;MAD;2018-11-09; 19:00;
Iberia;IB 5007;1;Programado - Puntual;2018-11-09;20:15;20:14;Madrid;MAD;2018-11-09; 19:00;
Vueling;VY 2227;1;Programado - Puntual;2018-11-09;20:15;20:20;Sevilla;SVQ;2018-11-09; 18:40;
Iberia;IB 5417;1;Programado - Puntual;2018-11-09;20:15;20:20;Sevilla;SVQ;2018-11-09; 18:40;
Qatar Airways;QR 3729;1;Programado - Puntual;2018-11-09;20:15;20:20;Sevilla;SVQ;2018-11-09; 18:40;
Finnair;AY 1653;1;Programado;2018-11-09;20:20;20:20;Helsinki;HEL;2018-11-09; 17:25;
Iberia;IB 391;1;Programado;2018-11-09;20:20;20:20;Helsinki;HEL;2018-11-09; 17:25;
JAL;JL 6855;1;Programado;2018-11-09;20:20;20:20;Helsinki;HEL;2018-11-09; 17:25;
TAP Portugal;TP 1046;1;Programado;2018-11-09;20:20;20:20;Lisbon;LIS;2018-11-09; 17:30;
El Al;LY 9008;1;Programado;2018-11-09;20:20;20:20;Lisbon;LIS;2018-11-09; 17:30;
Azores Airlines;S4 8710;1;Programado;2018-11-09;20:20;20:20;Lisbon;LIS;2018-11-09; 17:30;
Qatar Airways;QR 141;1;En Ruta - Puntual;2018-11-09;20:25;19:50;Doha;DOH;2018-11-09; 15:20;15:13
SriLankan Airlines;UL 3551;1;En Ruta - Puntual;2018-11-09;20:25;19:50;Doha;DOH;2018-11-09; 15:20;15:13
Brussels Airlines;SN 3705;1;Programado;2018-11-09;20:30;20:30;Brussels;BRU;2018-11-09; 18:30;
ANA;NH 5147;1;Programado;2018-11-09;20:30;20:30;Brussels;BRU;2018-11-09; 18:30;
Vueling;VY 3911;1;Programado - Puntual;2018-11-09;20:30;20:33;Palma Mallorca;PMI;2018-11-09; 19:40;
Iberia;IB 5155;1;Programado - Puntual;2018-11-09;20:30;20:33;Palma Mallorca;PMI;2018-11-09; 19:40;
Qatar Airways;QR 3671;1;Programado - Puntual;2018-11-09;20:30;20:33;Palma Mallorca;PMI;2018-11-09; 19:40;
easyJet;U2 6401;2;Programado;2018-11-09;20:35;20:35;Newcastle;NCL;2018-11-09; 17:00;
Transavia;HV 5135;2;Programado;2018-11-09;20:40;20:40;Amsterdam;AMS;2018-11-09; 18:25;
Delta Air Lines;DL 7479;2;Programado;2018-11-09;20:40;20:40;Amsterdam;AMS;2018-11-09; 18:25;
Ryanair;FR 6395;2;Programado - Puntual;2018-11-09;20:40;20:40;Dublin;DUB;2018-11-09; 17:10;
Vueling;VY 2015;1;Programado - Puntual;2018-11-09;20:40;20:43;Granada;GRX;2018-11-09; 19:15;
Iberia;IB 5083;1;Programado - Puntual;2018-11-09;20:40;20:43;Granada;GRX;2018-11-09; 19:15;
Qatar Airways;QR 3597;1;Programado - Puntual;2018-11-09;20:40;20:43;Granada;GRX;2018-11-09; 19:15;
easyJet;U2 1411;2;Programado;2018-11-09;20:45;20:45;Geneva;GVA;2018-11-09; 19:20;
Swiftair;WT 8169;;Programado;2018-11-09;20:50;20:50;Palma Mallorca;PMI;2018-11-09; 19:50;
Vueling;VY 2112;1;Programado;2018-11-09;20:55;20:55;Malaga;AGP;2018-11-09; 19:20;
Iberia;IB 5760;1;Programado;2018-11-09;20:55;20:55;Malaga;AGP;2018-11-09; 19:20;
Qatar Airways;QR 3731;1;Programado;2018-11-09;20:55;20:55;Malaga;AGP;2018-11-09; 19:20;
Vueling;VY 8323;1;Programado - Puntual;2018-11-09;20:55;20:53;Amsterdam;AMS;2018-11-09; 18:40;
Iberia;IB 5305;1;Programado - Puntual;2018-11-09;20:55;20:53;Amsterdam;AMS;2018-11-09; 18:40;
Ryanair;FR 9367;2;Programado - Puntual;2018-11-09;20:55;20:55;Bologna;BLQ;2018-11-09; 19:10;
Vueling;VY 8245;1;Programado - Puntual;2018-11-09;21:00;21:01;Paris;CDG;2018-11-09; 19:15;
Iberia;IB 5295;1;Programado - Puntual;2018-11-09;21:00;21:01;Paris;CDG;2018-11-09; 19:15;
Wizz Air;W6 3175;2;Programado;2018-11-09;21:00;21:00;Bucharest;OTP;2018-11-09; 18:40;
Air Europa;UX 6102;1;Programado;2018-11-09;21:00;21:00;Palma Mallorca;PMI;2018-11-09; 20:10;
Aeroflot;SU 3649;1;Programado;2018-11-09;21:00;21:00;Palma Mallorca;PMI;2018-11-09; 20:10;
easyJet;U2 7383;2;Programado;2018-11-09;21:00;21:00;Southend;SEN;2018-11-09; 18:00;
Vueling;VY 2916;1;Programado - Puntual;2018-11-09;21:10;21:11;Bordeaux;BOD;2018-11-09; 20:00;
Iberia;IB 5346;1;Programado - Puntual;2018-11-09;21:10;21:11;Bordeaux;BOD;2018-11-09; 20:00;
Vueling;VY 1317;1;Programado - Puntual;2018-11-09;21:15;21:24;Alicante;ALC;2018-11-09; 20:05;
Iberia;IB 5415;1;Programado - Puntual;2018-11-09;21:15;21:24;Alicante;ALC;2018-11-09; 20:05;
easyJet;U2 2767;2;Programado;2018-11-09;21:15;21:15;Milan;MXP;2018-11-09; 19:45;
Vueling;VY 1578;1;Programado - Puntual;2018-11-09;21:15;21:15;Asturias;OVD;2018-11-09; 19:45;
Iberia;IB 5726;1;Programado - Puntual;2018-11-09;21:15;21:15;Asturias;OVD;2018-11-09; 19:45;
Qatar Airways;QR 3690;1;Programado - Puntual;2018-11-09;21:15;21:15;Asturias;OVD;2018-11-09; 19:45;
Wizz Air;W6 4405;2;Programado;2018-11-09;21:15;21:15;Sofia;SOF;2018-11-09; 19:10;
Ryanair;FR 6266;2;Programado - Puntual;2018-11-09;21:20;21:20;Edinburgh;EDI;2018-11-09; 17:40;
Air Nostrum;YW 8759;1;Programado;2018-11-09;21:30;21:30;Leon;LEN;2018-11-09; 20:05;
Iberia;IB 8759;1;Programado;2018-11-09;21:30;21:30;Leon;LEN;2018-11-09; 20:05;
British Airways;BA 482;1;Programado;2018-11-09;21:30;21:30;London;LHR;2018-11-09; 18:20;
American Airlines;AA 6294;1;Programado;2018-11-09;21:30;21:30;London;LHR;2018-11-09; 18:20;
Iberia;IB 7483;1;Programado;2018-11-09;21:30;21:30;London;LHR;2018-11-09; 18:20;
JAL;JL 7743;1;Programado;2018-11-09;21:30;21:30;London;LHR;2018-11-09; 18:20;
Ryanair;FR 4586;2;Programado - Puntual;2018-11-09;21:30;21:30;Porto;OPO;2018-11-09; 18:40;
Vueling;VY 6103;1;Programado - Puntual;2018-11-09;21:35;21:39;Rome;FCO;2018-11-09; 19:50;
Iberia;IB 5741;1;Programado - Puntual;2018-11-09;21:35;21:39;Rome;FCO;2018-11-09; 19:50;
Vueling;VY 6002;1;Programado - Puntual;2018-11-09;21:35;21:36;Florence;FLR;2018-11-09; 19:55;
Iberia;IB 5172;1;Programado - Puntual;2018-11-09;21:35;21:36;Florence;FLR;2018-11-09; 19:55;
Qatar Airways;QR 3573;1;Programado - Puntual;2018-11-09;21:35;21:36;Florence;FLR;2018-11-09; 19:55;
Vueling;VY 8021;1;Programado - Puntual;2018-11-09;21:45;21:49;Paris;ORY;2018-11-09; 20:10;
Iberia;IB 5213;1;Programado - Puntual;2018-11-09;21:45;21:49;Paris;ORY;2018-11-09; 20:10;
Lufthansa;LH 1816;1;Programado;2018-11-09;21:50;21:50;Munich;MUC;2018-11-09; 19:50;
Aegean Airlines;A3 1476;1;Programado;2018-11-09;21:50;21:50;Munich;MUC;2018-11-09; 19:50;
ANA;NH 6077;1;Programado;2018-11-09;21:50;21:50;Munich;MUC;2018-11-09; 19:50;
SAS;SK 3308;1;Programado;2018-11-09;21:50;21:50;Munich;MUC;2018-11-09; 19:50;
United Airlines;UA 9299;1;Programado;2018-11-09;21:50;21:50;Munich;MUC;2018-11-09; 19:50;
Oman Air;WY 5514;1;Programado;2018-11-09;21:50;21:50;Munich;MUC;2018-11-09; 19:50;
Vueling;VY 3917;1;Programado - Puntual;2018-11-09;21:50;21:54;Palma Mallorca;PMI;2018-11-09; 21:00;
Iberia;IB 5321;1;Programado - Puntual;2018-11-09;21:50;21:54;Palma Mallorca;PMI;2018-11-09; 21:00;
Qatar Airways;QR 3661;1;Programado - Puntual;2018-11-09;21:50;21:54;Palma Mallorca;PMI;2018-11-09; 21:00;
Vueling;VY 2269;1;Programado - Puntual;2018-11-09;21:50;21:54;Sevilla;SVQ;2018-11-09; 20:15;
Iberia;IB 5737;1;Programado - Puntual;2018-11-09;21:50;21:54;Sevilla;SVQ;2018-11-09; 20:15;
Qatar Airways;QR 3574;1;Programado - Puntual;2018-11-09;21:50;21:54;Sevilla;SVQ;2018-11-09; 20:15;
Vueling;VY 1585;1;Programado - Puntual;2018-11-09;21:55;22:01;Valladolid;VLL;2018-11-09; 20:40;
Iberia;IB 5595;1;Programado - Puntual;2018-11-09;21:55;22:01;Valladolid;VLL;2018-11-09; 20:40;
Qatar Airways;QR 3506;1;Programado - Puntual;2018-11-09;21:55;22:01;Valladolid;VLL;2018-11-09; 20:40;
Vueling;VY 6249;1;Programado - Puntual;2018-11-09;22:05;22:05;Zurich;ZRH;2018-11-09; 20:25;
Iberia;IB 5211;1;Programado - Puntual;2018-11-09;22:05;22:05;Zurich;ZRH;2018-11-09; 20:25;
Vueling;VY 7841;1;Programado - Puntual;2018-11-09;22:10;22:04;London;LHR;2018-11-09; 19:00;
British Airways;BA 8077;1;Programado - Puntual;2018-11-09;22:10;22:04;London;LHR;2018-11-09; 19:00;
Iberia;IB 5259;1;Programado - Puntual;2018-11-09;22:10;22:04;London;LHR;2018-11-09; 19:00;
Vueling;VY 6503;1;Programado - Puntual;2018-11-09;22:10;22:04;Naples;NAP;2018-11-09; 20:10;
Iberia;IB 5237;1;Programado - Puntual;2018-11-09;22:10;22:04;Naples;NAP;2018-11-09; 20:10;
Qatar Airways;QR 3693;1;Programado - Puntual;2018-11-09;22:10;22:04;Naples;NAP;2018-11-09; 20:10;
TAP Portugal;TP 1034;1;Programado;2018-11-09;22:10;22:10;Porto;OPO;2018-11-09; 19:35;
Norwegian Air International;D8 5575;2;Programado - Puntual;2018-11-09;22:15;22:15;Copenhagen;CPH;2018-11-09; 19:25;
Iberia;IB 2100;1;Programado;2018-11-09;22:15;22:15;Madrid;MAD;2018-11-09; 21:00;
JAL;JL 6981;1;Programado;2018-11-09;22:15;22:15;Madrid;MAD;2018-11-09; 21:00;
LATAM Airlines;LA 7062;1;Programado;2018-11-09;22:15;22:15;Madrid;MAD;2018-11-09; 21:00;
easyJet;U2 4419;2;Programado;2018-11-09;22:20;22:20;Lyon;LYS;2018-11-09; 21:00;
Vueling;VY 3719;1;Programado - Puntual;2018-11-09;22:20;22:20;Menorca;MAH;2018-11-09; 21:30;
Iberia;IB 5145;1;Programado - Puntual;2018-11-09;22:20;22:20;Menorca;MAH;2018-11-09; 21:30;
Qatar Airways;QR 3667;1;Programado - Puntual;2018-11-09;22:20;22:20;Menorca;MAH;2018-11-09; 21:30;
easyJet;U2 3921;2;Programado;2018-11-09;22:30;22:30;Paris;CDG;2018-11-09; 20:45;
Ryanair;FR 8393;2;Programado - Puntual;2018-11-09;22:35;22:35;Budapest;BUD;2018-11-09; 20:00;
Air Europa;UX 2011;1;Programado;2018-11-09;22:35;22:35;Madrid;MAD;2018-11-09; 21:20;
Aerolineas Argentinas;AR 7324;1;Programado;2018-11-09;22:35;22:35;Madrid;MAD;2018-11-09; 21:20;
Korean Air;KE 6653;1;Programado;2018-11-09;22:35;22:35;Madrid;MAD;2018-11-09; 21:20;
Aeroflot;SU 3643;1;Programado;2018-11-09;22:35;22:35;Madrid;MAD;2018-11-09; 21:20;
Aeroflot;SU 2512;1;Programado;2018-11-09;22:35;22:35;Moscow;SVO;2018-11-09; 20:05;
Air Europa;UX 3288;1;Programado;2018-11-09;22:35;22:35;Moscow;SVO;2018-11-09; 20:05;
Vueling;VY 1437;1;Programado - Puntual;2018-11-09;22:40;22:37;Bilbao;BIO;2018-11-09; 21:30;
Iberia;IB 5797;1;Programado - Puntual;2018-11-09;22:40;22:37;Bilbao;BIO;2018-11-09; 21:30;
Qatar Airways;QR 3582;1;Programado - Puntual;2018-11-09;22:40;22:37;Bilbao;BIO;2018-11-09; 21:30;
Vueling;VY 1873;1;Programado - Puntual;2018-11-09;22:40;22:40;Copenhagen;CPH;2018-11-09; 19:50;
Iberia;IB 5069;1;Programado - Puntual;2018-11-09;22:40;22:40;Copenhagen;CPH;2018-11-09; 19:50;
Vueling;VY 7825;1;Programado - Puntual;2018-11-09;22:40;22:44;London;LGW;2018-11-09; 19:35;
British Airways;BA 8063;1;Programado - Puntual;2018-11-09;22:40;22:44;London;LGW;2018-11-09; 19:35;
Iberia;IB 5522;1;Programado - Puntual;2018-11-09;22:40;22:44;London;LGW;2018-11-09; 19:35;
Vueling;VY 1817;1;Programado - Puntual;2018-11-09;22:40;22:33;Munich;MUC;2018-11-09; 20:30;
Iberia;IB 5059;1;Programado - Puntual;2018-11-09;22:40;22:33;Munich;MUC;2018-11-09; 20:30;
Vueling;VY 6337;1;Programado - Puntual;2018-11-09;22:40;22:48;Milan;MXP;2018-11-09; 21:05;
Iberia;IB 5743;1;Programado - Puntual;2018-11-09;22:40;22:48;Milan;MXP;2018-11-09; 21:05;
Vueling;VY 3919;1;Programado - Puntual;2018-11-09;22:40;22:45;Palma Mallorca;PMI;2018-11-09; 21:50;
Iberia;IB 5163;1;Programado - Puntual;2018-11-09;22:40;22:45;Palma Mallorca;PMI;2018-11-09; 21:50;
Qatar Airways;QR 3657;1;Programado - Puntual;2018-11-09;22:40;22:45;Palma Mallorca;PMI;2018-11-09; 21:50;
Vueling;VY 6107;1;Programado - Puntual;2018-11-09;22:50;22:52;Rome;FCO;2018-11-09; 21:05;
Iberia;IB 5381;1;Programado - Puntual;2018-11-09;22:50;22:52;Rome;FCO;2018-11-09; 21:05;
Vueling;VY 3519;1;Programado - Puntual;2018-11-09;22:50;22:52;Ibiza;IBZ;2018-11-09; 21:55;
Iberia;IB 5349;1;Programado - Puntual;2018-11-09;22:50;22:52;Ibiza;IBZ;2018-11-09; 21:55;
Qatar Airways;QR 3613;1;Programado - Puntual;2018-11-09;22:50;22:52;Ibiza;IBZ;2018-11-09; 21:55;
easyJet;U2 1081;2;Programado;2018-11-09;22:55;22:55;Basel, Switzerland / Mulhouse;BSL;2018-11-09; 21:15;
Joon;JN 1448;1;Programado;2018-11-09;22:55;22:55;Paris;CDG;2018-11-09; 21:10;
Aeromexico;AM 6031;1;Programado;2018-11-09;22:55;22:55;Paris;CDG;2018-11-09; 21:10;
JAL;JL 5353;1;Programado;2018-11-09;22:55;22:55;Paris;CDG;2018-11-09; 21:10;
Korean Air;KE 6341;1;Programado;2018-11-09;22:55;22:55;Paris;CDG;2018-11-09; 21:10;
China Eastern Airlines;MU 8637;1;Programado;2018-11-09;22:55;22:55;Paris;CDG;2018-11-09; 21:10;
Air Europa;UX 3348;1;Programado;2018-11-09;22:55;22:55;Paris;CDG;2018-11-09; 21:10;
Vietnam Airlines;VN 3674;1;Programado;2018-11-09;22:55;22:55;Paris;CDG;2018-11-09; 21:10;
Air France;AF 1448;1;Programado;2018-11-09;22:55;22:55;Paris;CDG;2018-11-09; 21:10;
